alpha,rrg,low_rate,high_rate,n_low,n_high,federal_cost,n_participating
0.5,0.07871425611272276,0.0005210745715609078,0.00661982463271587,9,114,10903298.256628368,4
0.51,0.06646981627296587,0.0007526632700324224,0.011323384240171883,13,195,17527352.32126078,5
0.52,0.06646981627296587,0.0007526632700324224,0.011323384240171883,13,195,17871025.896187462,5
0.53,0.06646981627296587,0.0007526632700324224,0.011323384240171883,13,195,18214699.471114144,5
0.54,0.06646981627296587,0.0007526632700324224,0.011323384240171883,13,195,18558373.046040826,5
0.55,0.05113062790228145,0.000810560444650301,0.015852737936240636,14,273,24217786.59230648,6
0.56,0.05113062790228145,0.000810560444650301,0.015852737936240636,14,273,24658109.98489387,6
0.57,0.07927592766500517,0.0015053265400648448,0.018988444341211313,26,327,30799093.10560786,6
0.58,0.07927592766500517,0.0015053265400648448,0.018988444341211313,26,327,31339428.072372913,6
0.59,0.08235198476296658,0.001621120889300602,0.01968526798676035,28,339,33212029.634163048,6
0.6,0.08529312707592968,0.0016790180639184808,0.01968526798676035,29,339,33892616.93886674,6
0.61,0.08529312707592968,0.0016790180639184808,0.01968526798676035,29,339,34457493.88784785,6
0.62,0.08529312707592968,0.0016790180639184808,0.01968526798676035,29,339,35022370.83682896,6
0.63,0.1424353205849269,0.003300138953219083,0.023169386214505545,57,399,43781373.33687719,7
0.64,0.18238669099289417,0.0043422880963408985,0.0238081412229255,75,410,47517001.03487627,7
0.65,0.1833136188693902,0.004747568318666049,0.025898612159572613,82,446,52944623.53214422,7
0.66,0.19030777273172803,0.0053265400648448355,0.02798908309621973,92,482,59015184.24191311,7
0.67,0.22101213910761155,0.00770032422417786,0.03484118227745195,133,600,77343718.89397275,8
0.68,0.22101213910761155,0.00770032422417786,0.03484118227745195,133,600,78498102.7580619,8
0.69,0.21991257622647914,0.00770032422417786,0.03501538818883921,133,603,80038416.10307625,8
0.7,0.22207657510553117,0.008395090319592404,0.037802682771035365,145,651,87557775.89133179,8
0.71,0.22207657510553117,0.008395090319592404,0.037802682771035365,145,651,88808601.26120797,8
0.72,0.22207657510553117,0.008395090319592404,0.037802682771035365,145,651,90059426.63108413,8
0.73,0.2285203172596126,0.009089856415006948,0.03977701643342431,157,685,97417096.02297586,8
0.74,0.2285203172596126,0.009089856415006948,0.03977701643342431,157,685,98751576.79041386,8
0.75,0.25160386830840775,0.010884668828161186,0.0432611346611695,188,745,110168281.42011912,8
0.76,0.2707599159370813,0.013490041685965725,0.04982289065675628,233,858,133922016.53410304,8
0.77,0.2707599159370813,0.013490041685965725,0.04982289065675628,233,858,135684148.3306044,8
0.78,0.2722352498276425,0.01372163038443724,0.05040357702804715,237,868,139549787.20736235,8
0.79,0.5144445361246012,0.029932839277443262,0.058184774403344755,517,1002,189709124.09327495,9
0.8,0.5002977274637823,0.03265400648448356,0.06526914813309331,564,1124,217485000.28023037,9
0.81,0.5469516310461192,0.03890690134321445,0.07113408048313107,672,1225,247489689.3229818,10
0.82,0.5509787180216931,0.03983325613710051,0.07229545322571279,688,1245,255073379.43689525,10
0.83,0.5450421559863338,0.04070171375636869,0.07467626734800534,703,1286,267421967.18565398,10
0.84,0.5508667974251228,0.04417554423344141,0.08019278787526857,763,1381,291449732.34600323,10
0.85,0.6482199610698104,0.05390226956924502,0.08315428836885198,931,1432,328875108.16966105,10
0.86,0.6542304751276169,0.05789717461787865,0.08849660298472795,1000,1524,358929652.992964,11
0.87,0.7115491345520136,0.06565539601667439,0.09227106439811858,1134,1589,393957396.00689685,12
0.88,0.8315824177407964,0.07914543770264011,0.0951744962545729,1367,1639,440271506.3047952,12
0.89,0.884285948631421,0.08626679018063918,0.09755531037686546,1490,1680,470038422.8254054,12
0.9,0.8809777694280088,0.09755673923112552,0.1107368910051681,1685,1907,543679996.899817,12
0.91,0.8694329900872796,0.10334645669291338,0.11886650020324023,1785,2047,586541191.6721748,13
0.92,0.9266511996337329,0.1166049096804076,0.12583473665873063,2014,2167,646374334.4601281,14
0.93,0.9266511996337329,0.1166049096804076,0.12583473665873063,2014,2167,653400142.4433904,14
0.94,0.9499390486166294,0.12025243168133395,0.12658962894140874,2077,2180,674334186.8721106,14
0.95,0.9491342186345699,0.12042612320518759,0.12687997212705418,2080,2185,683063665.4504614,14
0.96,0.9889968020751544,0.14225335803612785,0.14383601416874747,2457,2477,825401737.7717049,14
0.97,0.9551238682002045,0.15169059749884206,0.1588177225480518,2620,2735,905820709.4882777,15
0.98,0.9300451138332639,0.1551065308012969,0.16677312583473666,2679,2872,947656941.0351503,15
0.99,0.9212637456999964,0.1618805002315887,0.175715695952616,2796,3026,1000386128.9196601,15
1.0,0.926970370122499,0.16465956461324688,0.17763196097787584,2844,3059,1026477018.8311875,15
